,Frequency,Percentage,Cumulative Percentage
Beiersdorf,1,2.0,2.0
Bobbi Brown,1,2.0,4.0
Dear Me Beauty,1,2.0,6.0
Emina,4,8.0,14.0
ESQA,1,2.0,16.0
Etude House,1,2.0,18.0
Eucalie,1,2.0,20.0
Focallure,1,2.0,22.0
Goban Cosmetics,1,2.0,24.0
HALE.,1,2.0,26.0
Implora,1,2.0,28.0
Indoganic,1,2.0,30.0
Innisfree,1,2.0,32.0
Inul Beauty,1,2.0,34.0
L'oreal,3,6.0,40.0
Liquid,1,2.0,42.0
LT Pro,1,2.0,44.0
Luxcrime,2,4.0,48.0
Mad for Makeup,1,2.0,50.0
Madame Gie,3,6.0,56.0
Makeover,2,4.0,60.0
Maybelline,4,8.0,68.0
Mineral Botanica,1,2.0,70.0
Oriflame,1,2.0,72.0
PIXY,1,2.0,74.0
Purbasari,1,2.0,76.0
Raiku,1,2.0,78.0
Rollover Reaction,1,2.0,80.0
Rose All day,1,2.0,82.0
Runa Beauty,1,2.0,84.0
Sensatia Botanica,1,2.0,86.0
Tiff Body,1,2.0,88.0
Tony Moly,1,2.0,90.0
Wardah,4,8.0,98.0
Y.O.U,1,2.0,100.0
