Lip Product,Brand,Type of Lip Product,Shades,Price
Maybelline Color Sensational Creamy Matte Lipstick,Maybelline,Lipstick,44,299
Maybelline SuperStay Matte Ink Liquid Lipstick,Maybelline,Liquid Lipstick,30,699
Maybelline SuperStay Matte Ink Crayon Lipstick,Maybelline,Lip Crayon,10,599
Maybelline Lifter Gloss,Maybelline,Lip Gloss,4,799
Maybelline Baby Lips Loves Color Lip Balm,Maybelline,Lip Balm,3,175
Maybelline Baby Lips Bloom Lip Balm,Maybelline,Lip Balm,2,180
Lakmé 9 to 5 Powerplay Priming Matte Lip Color,Lakmé,Lipstick,35,599
Lakmé Absolute Matte Melt Liquid Lip Color,Lakmé,Liquid Lipstick,15,800
Lakmé Absolute Plump and Shine Lip Gloss,Lakmé,Lip Gloss,8,800
Lakmé Lip Love Chapstick,Lakmé,Lip Balm,7,160
Lakmē Xtraordin-airy Lip Mousse,Lakmé,Liquid Lipstick,14,700
L'Oréal Paris Color Riche Lipstick,L'Oréal Paris,Lipstick,43,799
L'Oréal Paris Rouge Signature Matte Liquid Lipstick,L'Oréal Paris,Liquid Lipstick,13,899
Nykaa Matte Luxe Lipstick,Nykaa,Lipstick,12,849
Nykaa So Matte Lipstick,Nykaa,Lipstick,48,450
Nykaa So Creme! Creamy Matte Lipstick,Nykaa,Lipstick,18,329
Nykaa Matte To Last! Liquid Lipstick,Nykaa,Liquid Lipstick,24,675
Nykaa Gloss It Up! High Shine Lip Gloss,Nykaa,Lip Gloss,4,550
Nykaa Macaron Lip Balm,Nykaa,Lip Balm,7,299
Nykaa Lips Don't Lie! Line & Fill Lip Liner,Nykaa,Lip Liner,16,399
Nykaa Ultra Matte Lipstick,Nykaa,Lipstick,17,649
Matte-ilicious lip crayon lipstick,Nykaa,Lip Crayon,8,799
Nykaa Serial Kisser Moisturising Tinted Lip Balm,Nykaa,Lip Balm,5,179
Nykaa Paintstix! Waterproof Matte Lipstick,Nykaa,Lipstick,9,525
All day matte liquid lipstick,Nykaa,Liquid Lipstick,19,399
Nykaa Gloss it up pH Lip gloss oil,Nykaa,Lip gloss,1,575
Get set matte! Demi matte lip cream liquid lipstick,Nykaa,Liquid Lipstick,12,499
8 hour lasting full cover matte gloss,Nykaa,Lip gloss,8,599
Nykaa matte tattoo liquid lipstick,Nykaa,Liquid Lipstick,10,899
Sugar Cosmetics Matte As Hell Crayon Lipstick ,Sugar Cosmetics,Lipstick,34,899
Sugar Cosmetics Smudge Me Not Liquid Lipstick,Sugar Cosmetics,Liquid Lipstick,47,499
Sugar Cosmetics Time To Shine Lip Gloss,Sugar Cosmetics,Lip Gloss,8,499
Sugar Cosmetics Nothing Else Matter Longwear Lipstick,Sugar Cosmetics,Lip Balm,21,599
Sugar Cosmetics Lipping On The Edge Lip Liner,Sugar Cosmetics,Lip Liner,6,525
Miss Claire Soft Matte Lip Cream,Miss Claire,Lipstick,52,225
Miss Claire Long Lasting Matte Lipstick,Miss Claire,Liquid Lipstick,21,325
Miss Claire Matte & Pearly Gloss ,Miss Claire,Lip Gloss,22,75
Miss Claire Butter Lip Balm,Miss Claire,Lip Balm,9,150
Miss Claire Glimmersticks Lip Liner,Miss Claire,Lip Liner,25,65
Ecostay matte lip lacquer,Lotus Herbals,Lip Lacquer,16,616.25
Proedit lip plumper + gloss,Lotus Herbals,Lip Plumper,10,505.75
Lotus herbals LIP BALM,Lotus Herbals,Lip Balm,2,169.28
Ecostay butter matte lip color,Lotus Herbals,Lip Color,22,531.25
Colorkick exfoliating & Hydrating Lip sugar,Lotus Herbals,Lip Color,2,293.25
Proedit liquid matte lip color,Lotus Herbals,Lip Color,12,633.25
Proedit silk touch Matte Lip Color,Lotus Herbals,Lip Color,2,590.75
Revlon super lustrous lipstick,Revlon,Lipstick,38,799
Revlon super lustrous(bold matte),Revlon,Lipstick,12,799
Revlon colorstay satin Ink Lip Color,Revlon,Lipstick,22,999
Revlon colorstay overtime lip color,Revlon,Lipstick,10,1300
Colorstay Longwear  Lip Liner,Revlon,Lip Liner,4,810
Super Lustrous The Luscious Mattes Lipstick,Revlon,Lipstick,12,799
Colorstay matte lite crayon,Revlon,Lip Crayon,10,999
Revlon ultra HD vinyl Lip Polish,Revlon,Lip Polish,8,1250
Revlon super lustrous lipstick,Revlon,Lipstick,12,799
Colorstay Matte lite crayon,Revlon,Lip Crayon,10,999
Revlon colorstay suede ink,Revlon,Lipstick,10,1199
Nourishing Tinted 100% Natural Lip Balm,Mamaearth,Lip Balm,1,199
Nourishing 100% Natural Lip Balm,Mamaearth,Lip Balm,1,149
Tinted 100% Natural Lip Balm,Mamaearth,Lip Balm,4,299
Soft Matte Long Stay Lipstick,Mamaearth,Lipstick,9,399
Moisture Matte Long Stay Lipstick,Mamaearth,Lipstick,17,499
Creamy Matte Long Stay Lipstick,Mamaearth,Lipstick,9,399
Feather Light Liquid Matte Lipstick,Mamaearth,Liquid Lipstick,4,249
Elle 18 Color Pop Matte Lip Color,Elle 18,Lipstick,24,100
Elle 18 Color Pops Silk Lipstick,Elle 18,Lipstick,3,100
Elle 18 Liquid Lip Color,Elle 18,Liquid Lipstick,40,150
Elle 18 Lit Lip Stack Liquid Lipstick,Elle 18,Liquid Lipstick,6,275
Elle 18 OMG Lip Gloss,Elle 18,Lip Gloss,7,175
Elle 18 2 Timing Lip & Cheek Tint,Elle 18,Lip Tint,2,150
