,Frequency,Percentage,Cumulative Percentage
1,3,4.29,4.29
2,5,7.14,11.43
3,2,2.86,14.29
4,5,7.14,21.43
5,1,1.43,22.86
6,2,2.86,25.72
7,3,4.29,30.009999999999998
8,5,7.14,37.15
9,4,5.71,42.86
10,7,10.0,52.86
12,6,8.57,61.43
13,1,1.43,62.86
14,1,1.43,64.29
15,1,1.43,65.72000000000001
16,2,2.86,68.58000000000001
17,2,2.86,71.44000000000001
18,1,1.43,72.87000000000002
19,1,1.43,74.30000000000003
21,2,2.86,77.16000000000003
22,3,4.29,81.45000000000003
24,2,2.86,84.31000000000003
25,1,1.43,85.74000000000004
30,1,1.43,87.17000000000004
34,1,1.43,88.60000000000005
35,1,1.43,90.03000000000006
38,1,1.43,91.46000000000006
40,1,1.43,92.89000000000007
43,1,1.43,94.32000000000008
44,1,1.43,95.75000000000009
47,1,1.43,97.18000000000009
48,1,1.43,98.6100000000001
52,1,1.43,100.0400000000001
